Collection,NumEntities,ApproxBytes,VectorDim,VectorSubset,BatchSize,Metric,Timestamp
NewsArticle_IP_64d_5000v_bs16,5000,2570000,64,5000,16,IP,1758039901.2693198
NewsArticle_IP_64d_5000v_bs32,5000,2570000,64,5000,32,IP,1758039912.739342
NewsArticle_IP_64d_5000v_bs128,5000,2570000,64,5000,128,IP,1758039917.6868932
NewsArticle_L2_128d_1000v_bs4,1000,770000,128,1000,4,L2,1758039922.5036485
NewsArticle_L2_128d_1000v_bs8,1000,770000,128,1000,8,L2,1758039926.5085943
NewsArticle_L2_128d_1000v_bs16,1000,770000,128,1000,16,L2,1758039930.1013346
NewsArticle_L2_128d_1000v_bs32,1000,770000,128,1000,32,L2,1758039935.0267105
NewsArticle_L2_128d_1000v_bs128,1000,770000,128,1000,128,L2,1758039937.7797656
NewsArticle_COSINE_128d_1000v_bs4,1000,770000,128,1000,4,COSINE,1758039942.9319186
NewsArticle_COSINE_128d_1000v_bs8,1000,770000,128,1000,8,COSINE,1758039946.880743
NewsArticle_COSINE_128d_1000v_bs16,1000,770000,128,1000,16,COSINE,1758039950.6057057
NewsArticle_COSINE_128d_1000v_bs32,1000,770000,128,1000,32,COSINE,1758039955.3964527
NewsArticle_COSINE_128d_1000v_bs128,1000,770000,128,1000,128,COSINE,1758039958.3077943
NewsArticle_IP_128d_1000v_bs4,1000,770000,128,1000,4,IP,1758039963.0225203
NewsArticle_IP_128d_1000v_bs8,1000,770000,128,1000,8,IP,1758039966.9780226
NewsArticle_IP_128d_1000v_bs16,1000,770000,128,1000,16,IP,1758039970.3540845
NewsArticle_IP_128d_1000v_bs32,1000,770000,128,1000,32,IP,1758039974.7453198
NewsArticle_IP_128d_1000v_bs128,1000,770000,128,1000,128,IP,1758039977.6808653
NewsArticle_L2_128d_5000v_bs4,5000,3850000,128,5000,4,L2,1758039990.6340642
NewsArticle_L2_128d_5000v_bs8,5000,3850000,128,5000,8,L2,1758039997.7570686
NewsArticle_L2_128d_5000v_bs16,5000,3850000,128,5000,16,L2,1758040003.475467
NewsArticle_L2_128d_5000v_bs32,5000,3850000,128,5000,32,L2,1758040014.938295
NewsArticle_L2_128d_5000v_bs128,5000,3850000,128,5000,128,L2,1758040018.6308136
NewsArticle_COSINE_128d_5000v_bs4,5000,3850000,128,5000,4,COSINE,1758040031.5427525
NewsArticle_COSINE_128d_5000v_bs8,5000,3850000,128,5000,8,COSINE,1758040039.8030133
NewsArticle_COSINE_128d_5000v_bs16,5000,3850000,128,5000,16,COSINE,1758040045.5114102
NewsArticle_COSINE_128d_5000v_bs32,5000,3850000,128,5000,32,COSINE,1758040057.1028676
NewsArticle_COSINE_128d_5000v_bs128,5000,3850000,128,5000,128,COSINE,1758040060.310186
NewsArticle_IP_128d_5000v_bs4,5000,3850000,128,5000,4,IP,1758040071.4340074
NewsArticle_IP_128d_5000v_bs8,5000,3850000,128,5000,8,IP,1758040078.6380274
NewsArticle_IP_128d_5000v_bs16,5000,3850000,128,5000,16,IP,1758040084.4348748
NewsArticle_IP_128d_5000v_bs32,5000,3850000,128,5000,32,IP,1758040095.7353473
NewsArticle_IP_128d_5000v_bs128,5000,3850000,128,5000,128,IP,1758040099.6682327
NewsArticle_L2_384d_1000v_bs4,1000,1794000,384,1000,4,L2,1758040105.0475907
NewsArticle_L2_384d_1000v_bs8,1000,1794000,384,1000,8,L2,1758040109.4635854
NewsArticle_L2_384d_1000v_bs16,1000,1794000,384,1000,16,L2,1758040115.4462073
NewsArticle_L2_384d_1000v_bs32,1000,1794000,384,1000,32,L2,1758040119.8751013
NewsArticle_L2_384d_1000v_bs128,1000,1794000,384,1000,128,L2,1758040122.943541
NewsArticle_COSINE_384d_1000v_bs4,1000,1794000,384,1000,4,COSINE,1758040127.6989393
NewsArticle_COSINE_384d_1000v_bs8,1000,1794000,384,1000,8,COSINE,1758040132.0972536
NewsArticle_COSINE_384d_1000v_bs16,1000,1794000,384,1000,16,COSINE,1758040138.373922
NewsArticle_COSINE_384d_1000v_bs32,1000,1794000,384,1000,32,COSINE,1758040142.8005197
NewsArticle_COSINE_384d_1000v_bs128,1000,1794000,384,1000,128,COSINE,1758040146.0700483
NewsArticle_IP_384d_1000v_bs4,1000,1794000,384,1000,4,IP,1758040151.210527
NewsArticle_IP_384d_1000v_bs8,1000,1794000,384,1000,8,IP,1758040155.433227
NewsArticle_IP_384d_1000v_bs16,1000,1794000,384,1000,16,IP,1758040161.4080648
NewsArticle_IP_384d_1000v_bs32,1000,1794000,384,1000,32,IP,1758040165.7731204
NewsArticle_IP_384d_1000v_bs128,1000,1794000,384,1000,128,IP,1758040168.6101227
NewsArticle_L2_384d_5000v_bs4,5000,8970000,384,5000,4,L2,1758040181.2105358
NewsArticle_L2_384d_5000v_bs8,5000,8970000,384,5000,8,L2,1758040189.4629285
NewsArticle_L2_384d_5000v_bs16,5000,8970000,384,5000,16,L2,1758040209.011541
NewsArticle_L2_384d_5000v_bs32,5000,8970000,384,5000,32,L2,1758040220.5755365
NewsArticle_L2_384d_5000v_bs128,5000,8970000,384,5000,128,L2,1758040224.5369227
NewsArticle_COSINE_384d_5000v_bs4,5000,8970000,384,5000,4,COSINE,1758040236.418486
NewsArticle_COSINE_384d_5000v_bs8,5000,8970000,384,5000,8,COSINE,1758040243.3340654
NewsArticle_COSINE_384d_5000v_bs16,5000,8970000,384,5000,16,COSINE,1758040262.7238953
NewsArticle_COSINE_384d_5000v_bs32,5000,8970000,384,5000,32,COSINE,1758040273.7536213
NewsArticle_COSINE_384d_5000v_bs128,5000,8970000,384,5000,128,COSINE,1758040277.2546618
NewsArticle_IP_384d_5000v_bs4,5000,8970000,384,5000,4,IP,1758040289.4799392
NewsArticle_IP_384d_5000v_bs8,5000,8970000,384,5000,8,IP,1758040297.713811
NewsArticle_IP_384d_5000v_bs16,5000,8970000,384,5000,16,IP,1758040320.0999892
NewsArticle_IP_384d_5000v_bs32,5000,8970000,384,5000,32,IP,1758040331.3489523
NewsArticle_IP_384d_5000v_bs128,5000,8970000,384,5000,128,IP,1758040335.3673873
